total_count,coli,subtilis,mixed,r1,count,ratio,coli_norm,subtilis_norm,mixed_norm
1,0.6009605662285137,0.37775530839231547,0.02128412537917088,1,19780,0.2877090909090909,0.17290181818181818,0.10868363636363637,0.006123636363636364
2,0.5111032154912063,0.4345354414638479,0.05436134304494582,2,5629,0.08187636363636364,0.04184727272727273,0.035578181818181814,0.004450909090909091
3,0.5140199699083564,0.43135913919664753,0.05462089089499779,3,7314,0.10638545454545455,0.05468424814414136,0.045890338095771345,0.005810868305542019
4,0.5249110320284698,0.41643365531265886,0.058655312658871375,4,7862,0.11435636363636363,0.06002691685538661,0.04762183851735453,0.006707608263622498
5,0.5475878986099786,0.3928318342872726,0.05958026710275088,5,7344,0.10682181818181818,0.058494334943879026,0.04196301077826516,0.006364472459674218
6,0.5541058887088046,0.38806050783360446,0.057833603457591164,6,6164,0.08965818181818182,0.04968012651637922,0.03479279956780128,0.005185255734001337
7,0.5653986920261629,0.3734025319493518,0.06119877602447941,7,4770,0.06938181818181818,0.039228389250397046,0.025907346580340482,0.004246082351080244
8,0.5795004245683555,0.3586894990093405,0.06181007642230399,8,3539,0.05147636363636364,0.029830574582507784,0.018464031083549905,0.0031817579703059466
9,0.5782012335450661,0.3573138175457954,0.06448494890914223,9,2418,0.03517090909090909,0.020335863021265017,0.012567051793828847,0.002267994275815359
10,0.5839000693962546,0.3484385843164472,0.06766134628730017,10,1445,0.021018181818181818,0.012272517822219461,0.007323545517632962,0.0014221184783294362
11,0.5916260395755675,0.3431794283529313,0.06519453207150404,11,951,0.013832727272727273,0.008183801652892578,0.004747107438016548,0.0009018181818181868
12,0.5896694214876034,0.338292011019284,0.07203856749311302,12,605,0.0088,0.00518909090909091,0.0029769696969696997,0.0006339393939393946
13,0.5949900243848364,0.3365107514963425,0.06849922411882049,13,344,0.005003636363636364,0.002977113722012854,0.0016837774329416994,0.0003427452086818073
14,0.5869695158398082,0.34160191273162,0.07142857142857134,14,229,0.003330909090909091,0.0019551420963973246,0.001137844916589687,0.00023792207792207765
15,0.5956834532374098,0.3218225419664268,0.082494004796163,15,146,0.0021236363636363636,0.0012650150425114446,0.0006834340527577936,0.00017518726836712436
16,0.6072530864197531,0.31635802469135804,0.0763888888888889,16,76,0.0011054545454545455,0.000671290684624018,0.0003497194163860831,8.444444444444446e-05
17,0.5872033023735814,0.33849329205366335,0.07430340557275537,17,53,0.0007709090909090909,0.00045268036401163367,0.000260947556055915,5.7281170841542325e-05
18,0.607638888888889,0.328125,0.06423611111111112,18,33,0.00048,0.0002916666666666667,0.0001575,3.0833333333333335e-05
19,0.5403508771929825,0.37894736842105264,0.08070175438596491,19,14,0.00020363636363636363,0.00011003508771929824,7.716746411483253e-05,1.6433811802232855e-05
20,0.5656250000000002,0.340625,0.09375000000000003,20,12,0.00017454545454545454,9.872727272727275e-05,5.945454545454545e-05,1.636363636363637e-05
21,0.6580086580086579,0.2943722943722944,0.04761904761904761,21,11,0.00016,0.00010528138528138528,4.7099567099567105e-05,7.619047619047618e-06
22,0.6515151515151515,0.2878787878787879,0.06060606060606061,22,3,4.3636363636363636e-05,2.84297520661157e-05,1.2561983471074381e-05,2.6446280991735537e-06
23,0.7391304347826086,0.21739130434782608,0.043478260869565216,23,1,1.4545454545454545e-05,1.0750988142292489e-05,3.1620553359683794e-06,6.324110671936759e-07
24,0.5416666666666666,0.3541666666666667,0.10416666666666666,24,2,2.909090909090909e-05,1.5757575757575756e-05,1.0303030303030302e-05,3.03030303030303e-06
26,0.5384615384615384,0.19230769230769232,0.2692307692307692,26,1,1.4545454545454545e-05,7.832167832167831e-06,2.797202797202797e-06,3.916083916083916e-06
31,0.7741935483870968,0.16129032258064516,0.06451612903225806,31,1,1.4545454545454545e-05,1.126099706744868e-05,2.346041055718475e-06,9.3841642228739e-07
35,0.8285714285714286,0.11428571428571428,0.05714285714285714,35,1,1.4545454545454545e-05,1.2051948051948051e-05,1.6623376623376623e-06,8.311688311688311e-07
36,0.6666666666666666,0.16666666666666666,0.16666666666666666,36,1,1.4545454545454545e-05,9.696969696969696e-06,2.424242424242424e-06,2.424242424242424e-06
40,0.65,0.15,0.2,40,1,1.4545454545454545e-05,9.454545454545454e-06,2.1818181818181815e-06,2.9090909090909093e-06
