r1,count,ratio
1,12201,0.27421058545904037
2,10081,0.2265647825598382
3,7372,0.16568153725137655
4,5194,0.11673221710304528
5,3543,0.07962692437352512
6,2398,0.05389369592088999
7,1563,0.035127542420496684
8,872,0.019597707607596358
9,549,0.012338464996066974
10,311,0.006989549387571637
11,151,0.003393639734801663
12,97,0.002180020226991797
13,64,0.0014383638611079896
14,27,0.0006068097539049331
15,19,0.0004270142712664344
16,21,0.0004719631419260591
17,7,0.00015732104730868638
18,3,6.742330598943702e-05
19,4,8.989774131924935e-05
20,4,8.989774131924935e-05
21,2,4.4948870659624675e-05
22,3,6.742330598943702e-05
23,3,6.742330598943702e-05
25,1,2.2474435329812338e-05
28,3,6.742330598943702e-05
32,1,2.2474435329812338e-05
39,1,2.2474435329812338e-05
