r1,count,ratio
1,20614,0.35731743252847065
2,10929,0.18944029397999687
3,9157,0.15872493109843824
4,6632,0.11495727236484027
5,4420,0.07661506994158535
6,2690,0.046627723561734065
7,1519,0.026329930145083287
8,869,0.01506300809485015
9,414,0.007176162659686953
10,219,0.003796086044617011
11,105,0.00182004125426843
12,61,0.0010573573000988022
13,40,0.0006933490492451162
14,8,0.00013866980984902325
15,2,3.466745246225581e-05
16,4,6.933490492451162e-05
17,3,5.200117869338372e-05
18,1,1.7333726231127906e-05
24,2,3.466745246225581e-05
26,1,1.7333726231127906e-05
29,1,1.7333726231127906e-05
