Name,10k_1x_MLAB,10k_1x_MLAB2,10k_1x_NEB,10k_2x_MLAB,1k_1x_MLAB,IVT_DAY1,IVT_DAY2,MicrobeExpress_Bead,MicrobeExpress_RNASE
aaeA,60.576559407304934,176.6053759928833,34.520471939147484,101.23143244762998,296.69417996420793,73.99208567280512,86.10314853707841,92.75539162242046,155.30634249085352
aaeB,31.91330126998796,104.02976454112944,25.542977007029755,83.71648680621253,176.3091075048632,46.462017009668244,64.68338692401008,153.62702375549327,112.99069804311749
aaeR,63.780848703029704,224.0877501569206,58.63043000083529,109.15455226882924,152.25479094015793,53.606564754343516,55.643296592714265,139.38306922384552,85.15484183429129
aaeX,202.19811691852593,327.3751275855779,115.80139752720915,102.21308630578764,0.0,92.03222537529118,81.8451936959758,187.6355532452414,108.49422437659513
aas,73.57106245593117,148.84148242553596,66.03410118359541,123.46264898514875,95.08304073852955,76.39503825296691,88.7797348065789,156.75072103769804,112.7134442134627
aat,92.90779720614317,152.20859694680996,117.96157203823131,176.87556804964572,237.03534828751444,102.23991693963053,140.13618582903328,321.0459937857526,110.86032182310596
abgA,27.40523906427284,97.57537148002322,36.09126095567561,124.10094219542879,210.1754551168486,35.31819892718669,61.00126550215597,92.24652410398498,72.80533477903093
abgB,39.32461552308008,59.17238013538766,39.03813396326403,80.49643281381489,154.3834325539899,47.11013712296922,47.4073526737977,105.11833628195737,93.15281466670444
abgR,55.449081423953636,146.94065132553987,57.4163042463559,112.80812873291612,207.69630447282267,51.32822160213589,50.07299651736729,156.63968316705473,115.65555931894463
abgT,53.120481483513714,146.27905616512135,58.37423214317624,108.88214405151734,64.32541920638542,61.15967256740397,76.70606973707464,200.65889920997716,120.14429795436187
abpA,91.54692340446836,175.59686502321108,91.9885891130624,136.58686515913521,164.87970557777717,71.76695362515058,100.96681059074034,202.2985486719599,147.996991600912
abpB,47.244978880276946,133.84370242694794,63.6243645254225,125.71767453738892,135.137166042406,66.71774128779808,76.95804800556675,184.4940143020182,120.48618017027528
abrB,66.48617005796994,150.22880634408605,59.162345228300964,135.149869922722,149.8612555447539,65.11174820596182,52.8178060900061,179.4411237435771,106.02668023335953
accA,238.87404419794782,362.3966528621745,262.03011720264686,234.42184682886173,329.542464174531,320.4944518774434,197.20651551741992,171.04748259602445,236.49409983495894
accB,254.73394618499478,329.1517287142589,221.32801544861204,211.88741952511376,541.6765386061738,275.79565834619876,124.13879466084747,148.79668538220753,106.83139490267041
accC,102.12942965621609,144.7494855876622,103.56893982459334,160.0949822848575,110.55618152952006,81.52562753785251,83.42301611372412,144.37160893390168,160.10432416685043
accD,363.2470264859087,281.46114320656,362.5029641997385,406.8195482953262,665.0100704865204,442.0107572889283,320.20212147862804,335.2742857797129,294.99090494689597
aceA,145.6243770566995,151.7965379804839,136.55649965016923,219.75195206764877,301.07253679126603,171.6871313938035,127.43666366967058,212.12225862793713,160.45765784777038
aceB,131.86723407465144,194.2512337439157,146.39077897051925,131.7431581798109,140.9424094693536,148.96383137928743,94.71620411804243,202.69216144590806,149.59860222152
